,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,stays_in_weeks_nights
24,City Hotel,1,175,2016,August,33,10,0,4,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,99.45,0,0,Canceled,3/1/2016,
25,City Hotel,1,26,2017,May,21,22,1,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3,,0,Transient,128,0,0,Canceled,4/26/2017,
26,City Hotel,1,360,2015,October,42,12,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Contract,62,0,0,Canceled,1/1/2015,
27,Resort Hotel,1,378,2016,November,45,1,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,248,,0,Transient,,0,0,Canceled,10/18/2016,
28,City Hotel,0,32,2016,January,5,24,2,1,2,0,0,BB,ARG,Corporate,Corporate,0,0,0,A,A,1,No Deposit,38,,15,Transient-Party,64,0,0,Check-Out,1/27/2016,
29,Resort Hotel,0,165,2015,December,53,30,0,4,1,0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,308,,122,Transient-Party,,0,0,Check-Out,1/3/2016,
30,City Hotel,0,4,2015,August,35,25,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Check-Out,8/29/2015,
31,City Hotel,1,179,2016,July,27,1,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,65,0,0,Canceled,5/10/2016,
32,City Hotel,0,349,2016,October,41,4,1,5,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,58,,162,Transient-Party,123.33,0,0,Check-Out,10/10/2016,
33,City Hotel,0,47,2016,February,8,18,0,3,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,90.3,0,0,Check-Out,2/21/2016,
34,City Hotel,0,237,2015,September,38,14,1,2,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,80.75,0,0,Check-Out,9/17/2015,
35,City Hotel,0,31,2016,September,40,27,0,1,2,0,0,BB,UGA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,,0,Transient,126,0,0,Check-Out,9/28/2016,
36,City Hotel,0,158,2016,July,27,1,1,2,2,2,0,BB,BEL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,,0,Transient,168.3,0,1,Check-Out,7/4/2016,
37,City Hotel,0,25,2016,December,51,13,0,4,1,0,0,BB,EST,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,79.9,0,1,Check-Out,12/17/2016,
38,City Hotel,0,386,2016,October,44,23,2,0,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,,A,0,No Deposit,6,,0,Transient-Party,115,0,1,Check-Out,10/25/2016,
39,Resort Hotel,0,10,2016,September,38,13,0,2,2,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,,0,0,Check-Out,9/15/2016,
40,City Hotel,0,76,2016,March,13,20,2,3,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,,0,Transient,110.15,0,1,Check-Out,3/25/2016,
41,City Hotel,0,42,2017,April,16,21,1,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,156.67,0,2,Check-Out,4/24/2017,
42,Resort Hotel,1,210,2016,August,35,22,3,8,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,192.73,0,2,Canceled,2/15/2016,
43,City Hotel,0,4,2016,June,27,26,2,0,1,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,113,0,1,Check-Out,6/28/2016,
44,City Hotel,0,33,2016,May,23,29,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,,0,Transient,85.5,0,0,Check-Out,6/1/2016,
45,City Hotel,0,7,2016,December,51,17,1,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,78,0,1,Check-Out,12/19/2016,
46,City Hotel,0,21,2015,December,51,17,0,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40,0,Transient-Party,65,0,0,Check-Out,12/19/2015,
47,City Hotel,1,160,2015,December,53,30,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,,111,Transient-Party,,0,0,Canceled,12/23/2015,
48,Resort Hotel,0,28,2016,May,21,19,2,5,3,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,79.9,0,2,Check-Out,5/26/2016,
49,City Hotel,1,274,2015,July,29,18,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Canceled,7/6/2015,
50,City Hotel,1,155,2017,July,29,17,1,1,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,89.1,0,1,Canceled,3/8/2017,
51,Resort Hotel,1,48,2016,September,40,30,2,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,107,0,0,Canceled,8/14/2016,
52,Resort Hotel,0,25,2016,January,3,14,0,2,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,79,0,1,Check-Out,1/16/2016,
53,Resort Hotel,0,154,2016,July,29,11,1,2,2,0,0,BB,LUX,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,327,,0,Transient,64.8,0,0,Check-Out,7/14/2016,
54,City Hotel,1,1,2015,December,53,29,0,4,2,0,1,BB,PRT,Groups,TA/TO,0,0,0,B,B,2,No Deposit,29,,0,Transient,,0,2,Canceled,12/29/2015,
55,City Hotel,1,364,2015,October,42,16,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6,,0,Transient-Party,101.5,0,0,Canceled,7/6/2015,
56,City Hotel,0,18,2016,December,51,11,1,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,378,,0,Transient-Party,80,0,0,Check-Out,12/12/2016,
57,City Hotel,1,21,2017,January,1,2,1,3,2,0,0,BB,KOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,90.1,0,2,Canceled,12/16/2016,
58,City Hotel,1,15,2017,February,7,17,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,,A,0,Non Refund,19,,0,Transient,95,0,0,Canceled,2/2/2017,
59,City Hotel,0,22,2017,March,11,16,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,,A,0,No Deposit,85,,0,Transient,68,0,1,Check-Out,3/23/2017,
60,Resort Hotel,1,80,2017,August,34,26,2,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,135,0,1,Canceled,7/15/2017,
61,City Hotel,1,25,2015,December,50,8,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19,,0,Transient,90,0,0,Canceled,11/17/2015,
62,Resort Hotel,0,164,2015,November,46,9,2,5,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,61.2,1,0,Check-Out,11/16/2015,
63,City Hotel,0,69,2016,May,20,14,2,1,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,,0,Transient,159.3,0,1,Check-Out,5/17/2016,
64,Resort Hotel,0,3,2016,May,21,20,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,240,,0,Transient,89,0,0,Check-Out,5/22/2016,
65,Resort Hotel,1,206,2016,March,13,21,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,42.69,0,1,Canceled,8/31/2015,
66,City Hotel,1,157,2017,May,18,1,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3,,0,Transient,130,0,0,Canceled,11/25/2016,
67,City Hotel,0,30,2016,May,21,21,2,2,2,1,0,BB,BRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9,,0,Transient,133.58,0,0,Check-Out,5/25/2016,
68,City Hotel,0,1,2017,May,19,9,0,1,1,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10,,0,Transient,95,0,0,Check-Out,5/10/2017,
69,Resort Hotel,0,32,2016,April,17,19,2,5,2,0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,273,,0,Transient-Party,38.22,0,0,Check-Out,4/26/2016,
70,Resort Hotel,0,53,2016,June,24,7,0,2,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,,A,0,No Deposit,240,,0,Transient,129,0,1,Check-Out,6/9/2016,
71,Resort Hotel,1,246,2015,September,36,5,2,5,2,0,0,BB,,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,96,,0,Transient-Party,58.95,0,0,Canceled,6/17/2015,
72,City Hotel,1,304,2016,November,45,3,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21,,0,Transient,89,0,0,Canceled,2/1/2016,
73,City Hotel,0,127,2017,July,30,25,0,3,2,0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16,,0,Transient,98.1,0,0,Check-Out,7/28/2017,
74,Resort Hotel,0,0,2017,January,3,17,0,1,1,0,0,BB,ESP,Direct,Direct,1,0,1,A,A,0,No Deposit,,,0,Transient,,0,0,Check-Out,1/18/2017,
75,City Hotel,1,113,2016,September,37,7,1,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,,0,Transient,118.8,0,0,Canceled,5/23/2016,
76,City Hotel,0,272,2017,July,28,12,0,3,2,2,0,BB,AUT,Online TA,TA/TO,0,0,0,F,F,3,No Deposit,9,,0,Transient-Party,179.1,0,2,Check-Out,7/15/2017,
77,City Hotel,1,11,2016,November,45,5,0,1,2,1,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,,0,1,Canceled,10/28/2016,
78,City Hotel,1,98,2015,November,48,23,1,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37,,0,Transient-Party,70,0,0,No-Show,11/23/2015,
79,City Hotel,1,292,2015,August,32,5,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient-Party,62,0,0,Canceled,7/2/2015,
80,City Hotel,0,16,2016,December,50,4,2,0,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,118.8,0,1,Check-Out,12/6/2016,
81,City Hotel,0,70,2016,April,17,22,2,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,97.33,0,0,Check-Out,4/26/2016,
82,Resort Hotel,1,49,2015,July,30,20,3,6,2,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,,0,Transient,111.2,0,0,Canceled,6/1/2015,
83,City Hotel,1,379,2015,October,44,31,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient,62,0,0,Canceled,7/23/2015,
84,Resort Hotel,1,289,2017,July,30,25,0,4,2,1,0,BB,AUS,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,172.8,0,0,Canceled,4/19/2017,
85,Resort Hotel,1,108,2016,April,18,29,2,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,84,0,0,Canceled,2/12/2016,
86,Resort Hotel,0,128,2016,December,50,8,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,36.04,0,2,Check-Out,12/11/2016,
87,Resort Hotel,0,18,2016,April,15,9,2,3,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,33.3,0,0,Check-Out,4/14/2016,
88,Resort Hotel,1,46,2017,August,32,12,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,261,,0,Transient,212,0,0,Canceled,7/12/2017,
89,City Hotel,0,4,2015,August,33,11,0,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,90,0,2,Check-Out,8/16/2015,
90,City Hotel,1,332,2017,April,16,22,1,1,2,1,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,125.1,0,0,Canceled,6/7/2016,
91,City Hotel,0,28,2017,February,7,13,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,75,0,0,Check-Out,2/16/2017,
92,Resort Hotel,0,1,2015,October,42,13,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,,0,Transient,66,0,1,Check-Out,10/14/2015,
93,City Hotel,0,53,2015,October,41,9,1,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,94.5,0,0,Check-Out,10/12/2015,
94,Resort Hotel,1,260,2015,December,52,20,4,9,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,47.54,0,1,Canceled,8/24/2015,
95,Resort Hotel,0,166,2016,August,35,27,2,2,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,,0,Transient-Party,100.8,0,0,Check-Out,8/31/2016,
96,City Hotel,0,76,2017,July,29,16,2,3,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,108,0,0,Check-Out,7/21/2017,
97,City Hotel,0,1,2015,August,33,9,1,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,,0,Transient,153,0,2,Check-Out,8/10/2015,
98,City Hotel,0,172,2017,April,15,13,0,3,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,153,0,2,Check-Out,4/16/2017,
99,City Hotel,0,2,2016,March,13,20,2,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,220,,0,Transient-Party,85,0,0,Check-Out,3/26/2016,
100,Resort Hotel,0,4,2017,June,23,6,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,3,A,A,0,No Deposit,146,,0,Transient,108,0,2,Check-Out,6/9/2017,
101,City Hotel,0,175,2017,August,35,31,1,3,2,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,42,,0,Transient,86.85,0,2,Check-Out,9/4/2017,
102,City Hotel,1,97,2015,October,41,5,1,3,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,,0,Transient,140,0,0,Canceled,7/3/2015,
103,Resort Hotel,0,2,2015,October,41,9,0,1,1,0,0,BB,PRT,Groups,Corporate,0,0,1,A,D,0,No Deposit,,86,0,Transient,48,0,0,Check-Out,10/10/2015,
104,Resort Hotel,0,8,2015,July,28,7,0,4,3,2,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,2,No Deposit,240,,0,Transient,193,0,1,Check-Out,7/11/2015,
105,Resort Hotel,1,468,2016,May,20,12,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,249,,0,Transient-Party,67,0,0,Canceled,7/30/2015,
106,Resort Hotel,0,36,2016,June,24,9,0,3,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,241,,0,Transient,153.03,1,1,Check-Out,6/12/2016,
107,City Hotel,1,262,2015,November,46,9,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient,62.8,0,0,Canceled,9/4/2015,
108,City Hotel,1,91,2016,March,12,18,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,,20,Transient,75,0,0,Canceled,2/3/2016,
109,City Hotel,0,50,2016,April,16,12,0,3,2,1,0,HB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,,0,Transient,,0,2,Check-Out,4/15/2016,
110,City Hotel,0,32,2016,October,43,22,2,5,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,118,0,2,Check-Out,10/29/2016,
111,City Hotel,1,19,2015,October,41,6,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,Non Refund,82,,0,Transient,80,0,0,Canceled,9/17/2015,
112,City Hotel,0,61,2016,April,18,30,1,1,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,85,,0,Transient,89.75,0,1,Check-Out,5/2/2016,
113,City Hotel,0,297,2017,July,29,21,2,2,2,1,0,BB,DEU,Direct,Direct,0,0,0,A,A,1,No Deposit,14,,0,Transient,102.1,0,0,Check-Out,7/25/2017,
114,City Hotel,0,131,2017,June,23,8,0,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,144,0,1,Check-Out,6/11/2017,
115,Resort Hotel,0,228,2016,September,37,5,6,15,2,0,0,HB,DEU,Direct,Direct,0,0,1,D,D,0,No Deposit,,,0,Transient,88,0,1,Check-Out,9/26/2016,
116,City Hotel,1,330,2016,June,23,2,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,62,0,0,Canceled,10/21/2015,
117,City Hotel,1,53,2016,May,21,18,0,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,126.9,0,0,Canceled,3/28/2016,
118,City Hotel,0,144,2016,June,27,26,2,0,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,85.5,0,1,Check-Out,6/28/2016,
119,Resort Hotel,0,36,2015,December,53,27,2,0,2,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,6,,0,Transient,55.4,1,0,Check-Out,12/29/2015,
120,City Hotel,1,313,2017,April,17,29,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6,,0,Transient,90,0,0,Canceled,2/23/2017,
121,Resort Hotel,1,32,2016,April,17,19,2,5,2,0,0,HB,PRT,Groups,Direct,0,0,0,D,D,0,No Deposit,273,,0,Transient-Party,69.36,0,0,Canceled,3/18/2016,
122,City Hotel,1,524,2016,December,51,15,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,,0,0,Canceled,10/21/2015,
123,City Hotel,1,56,2017,March,12,21,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,86,,0,Transient,85,0,0,Canceled,1/24/2017,
124,City Hotel,1,138,2016,August,34,18,0,2,3,0,0,BB,ARE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,142.2,0,0,Canceled,8/18/2016,
125,City Hotel,0,156,2016,August,35,21,2,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,103.5,1,0,Check-Out,8/24/2016,
126,City Hotel,0,164,2015,October,40,2,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,19,,0,Transient-Party,100,0,0,Check-Out,10/4/2015,
127,Resort Hotel,0,8,2015,November,48,25,0,1,1,0,0,BB,,Corporate,Corporate,0,0,7,A,D,0,No Deposit,,204,0,Transient,35,0,1,Check-Out,11/26/2015,
128,Resort Hotel,0,2,2016,November,47,18,,2,2,0,0,HB,DEU,Direct,TA/TO,0,0,0,A,D,0,No Deposit,,,0,Transient,73.8,0,2,Check-Out,11/20/2016,
129,City Hotel,1,391,2016,July,31,27,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,65,0,0,Canceled,12/9/2015,
130,City Hotel,0,66,2016,November,48,24,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,75,0,0,Check-Out,11/27/2016,
131,City Hotel,0,256,2016,August,36,31,0,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,90.95,0,0,Check-Out,9/4/2016,
132,City Hotel,1,94,2016,August,35,23,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,117.9,0,0,Canceled,5/22/2016,
133,Resort Hotel,0,94,2017,February,7,13,1,3,3,0,0,HB,JAM,Groups,TA/TO,0,0,0,A,A,1,No Deposit,152,,0,Transient-Party,88,0,0,Check-Out,2/17/2017,
134,City Hotel,1,97,2015,October,41,5,1,3,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,,0,Transient,140,0,0,Canceled,7/3/2015,
135,City Hotel,0,56,2016,March,10,3,1,3,2,0,0,BB,ESP,Groups,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,72,0,0,Check-Out,3/7/2016,
136,City Hotel,1,191,2017,April,14,6,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,,0,Transient,88.4,0,0,Canceled,9/28/2016,
